gene,logFC,logCPM,PValue,FDR
MT-TC,-0.4292136707,-1.1691942842,0.0005925092,0.0008858432
MT-TY,-0.3091631222,-0.8196421669,0.0107953661,0.0143392381
MT-TT,-0.4797528698,-1.7731244227,0.0024995206,0.0035277107
MT-TP,-0.420588596,5.6905778742,2.39578525642012E-06,4.29961566645383E-06
GPX3,-3.6689081322,7.1790059356,5.60099201850874E-281,2.86876470442336E-278
DIO2,0.1611455878,5.1786892814,0.3233225819,0.3583877015
SELENOH,1.0067166304,5.9632096361,5.03164292907822E-38,4.42895521896101E-37
GNRHR2,0.1221564891,0.9366563987,0.045378404,0.0563205082
DIO1,3.6017504654,3.591884998,1.18512301350559E-28,7.11440719253048E-28
AKR7L,1.4194153302,0.8633224178,7.02068408847851E-22,3.0694715778038E-21
STK38L,0.3282699903,6.0971621082,0.0003470941,0.0005296952
SACM1L,-0.1833044105,5.725715197,0.0001227481,0.0001942134
MT-RNR1,0.0898057339,10.1575835511,0.5456181985,0.580655152
TSN,0.280211116,6.7397403806,1.67263848232805E-10,3.95276784550164E-10
MIR320E,-0.3135981638,-2.8299996218,0.0035447686,0.0049276059
SLC48A1,-0.3795681958,5.1650759157,1.52952948024088E-11,3.8605864500808E-11
IGKC,0.7970311314,10.4455153643,0.0005844174,0.0008741786
IGKJ5,0.2471087283,-2.248793058,0.3398963229,0.3753488561
IGKV4-1,0.9992972887,6.6835194046,8.07154304471699E-05,0.0001294671
IGKV5-2,0.6221960998,1.2887808239,0.0507826459,0.0627096259
IGKV6-21,0.9188066815,1.9430838641,0.0031886626,0.0044540205
IGKV3D-20,-0.0038160837,2.193161211,0.9522719791,0.958670239
IGKV3D-11,0.1850314856,0.3482043915,0.42577951,0.4619219318
IGKV1D-42,-0.9455829059,-1.8750606091,1.52686381154131E-05,2.58051581547132E-05
IGLV4-69,1.0890263269,4.082253309,0.0001223076,0.0001935503
IGLV8-61,0.5743465275,3.8158172082,0.0518849286,0.063998013
IGLV4-60,0.7528728293,1.7023230675,0.0148497616,0.0194280027
IGLV6-57,1.1047096248,4.8530638678,8.50944155371767E-05,0.0001362575
IGLV10-54,-0.7529110501,1.4634485692,0.0006811013,0.001013161
IGLV5-52,0.2983242381,-2.4740614636,0.2468251602,0.2785994095
IGLV1-51,0.9936756393,5.3539562224,7.13445154936541E-05,0.0001148433
IGLV1-50,-0.2327038559,-1.726089925,0.237209891,0.2683824324
IGLV5-48,-0.4678255957,-2.2549640288,0.0609604894,0.0745958098
IGLV1-47,1.2405935454,4.643211064,3.14082905206869E-06,5.58978203943202E-06
IGLV7-46,0.0098287584,2.5857925985,0.9981170891,0.9987425449
IGLV5-45,0.5331931557,2.2625773816,0.0562804365,0.0691244561
IGLV1-44,1.0084078471,5.0933299871,8.08579315804607E-05,0.0001296803
IGLV7-43,-0.0014111288,2.4131386092,0.959803732,0.9653513193
IGLV1-40,0.7623062105,5.4028036623,0.0015134323,0.0021808915
IGLV5-37,-0.3073663612,-0.7400687464,0.2565148435,0.2886483146
IGLV1-36,0.9580603861,2.0291684699,0.0017944309,0.002568501
IGLV2-33,-0.892219173,-2.9174002891,0.0001548898,0.0002432255
IGLV3-27,1.2562336002,2.2864050773,9.1298791593514E-05,0.0001458138
IGLV3-25,1.2906364268,5.2743704633,2.84892256298261E-06,5.08594317340036E-06
IGLV2-23,0.5358713217,5.5473945436,0.0254773488,0.0325049636
IGLV3-22,0.914831137,-2.3798615025,0.0552032326,0.0678659007
IGLV3-21,1.4574957249,5.9694078853,1.9220194116072E-07,3.72706185781049E-07
IGLV3-19,1.4621943293,5.7359530609,2.65843256862972E-07,5.10691462090597E-07
IGLV2-18,-0.0315770315,1.4098246925,0.8601951153,0.8757446969
IGLV3-16,0.1074584984,-1.1643624944,0.7127993593,0.739976726
IGLV2-14,1.066759335,6.216974269,4.66369456577415E-05,7.61095663595678E-05
IGLV3-12,1.5647963066,-1.2156957075,6.41095974656853E-07,1.20022009158862E-06
IGLV2-11,0.25242659,4.6657515902,0.2883564921,0.3219034147
IGLV3-10,1.2490841714,4.0723279452,2.93257641078213E-05,4.8594627790924E-05
IGLV3-9,1.5195035555,2.7281571417,1.59762308436446E-06,2.90288328300922E-06
IGLV4-3,0.92939069,-1.2787016806,0.012851465,0.0169344144
IGLV3-1,1.3889184559,4.5943078105,7.16868226749944E-07,0.000001337
IGLJ2,1.0307386187,-2.7175713949,0.0003560289,0.0005428116
IGLC2,0.8888318987,7.1249805764,9.28282653058313E-05,0.0001481955
IGLC3,0.8242772117,6.5982717687,0.0004559989,0.000688194
AP000346.1,-0.541283612,-2.7687119946,1.97026364930557E-05,3.3047934394494E-05
IGLC7,1.4535980378,2.3057449424,5.73766286031198E-06,1.00137968372142E-05
TRGC1,1.2317344484,1.4905513323,2.010291824275E-06,3.62793390917227E-06
TRGV10,0.1612455028,-1.5986299585,0.3677254317,0.4035035599
TRGV9,0.1189016289,-2.739127578,0.6429212696,0.6746845826
TRGV5,0.652181872,-1.2199031043,5.64841146704198E-05,9.15413598115353E-05
TRGV4,0.1134274607,-2.814079766,0.5055067259,0.5411501531
TRGV3,0.1555392683,-2.7397454049,0.3153166536,0.3499421863
TRBV6-1,1.1503898396,-1.9819650865,8.34367837564494E-09,1.77020315111573E-08
TRBV4-1,0.7217195926,-2.1231704428,0.0003641565,0.0005547047
TRBV7-3,1.2077483324,-2.2140625972,4.49847095443935E-13,1.2453140172263E-12
